Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.000627336103972513,0.0017729383164147923,0.1677581452042403,0.16806285355168404
Ridge Features,0.0017990643852587825,0.002616325457878096,0.5598378616199482,0.5613339341598252
N-BEATS simplified,0.014742516059639915,0.020172033969457714,5.121390896437304,5.0690848671812265
LSTM,0.03223618780332592,0.04324428842939219,10.372270926449593,10.821551506530122
Seasonal Naive (365d),0.03441170615486728,0.045032775491820325,12.30259934363129,11.785853207301338
Hybrid SeasonalNaive(365d)+ResidualNN,0.05215730132346315,0.06009356466858382,18.744216610686525,16.700168138833607
Naive,0.09861540135522669,0.1149422638577838,31.29701305063439,38.68745463780541
Rolling Mean (7d),0.10449182231228692,0.12048697510543892,33.31345633795094,41.64634969341737
SARIMAX,0.19101763762718046,0.2077202771696558,65.44143747701435,106.7819812897115
SARIMA,0.24871424551350685,0.2693085487418521,85.3265192918179,139.93682209011473
