Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.00023340184379438646,0.0004433743838992789,0.055080323624031376,0.05506922415455083
Ridge Features,0.0028474493611925864,0.0039441010810614295,0.6983953930830838,0.702172620266534
N-BEATS simplified,0.014453299633862635,0.02005285130114689,3.695705856955098,3.7208571343216668
SARIMAX,0.022631038166671166,0.03068478080977059,6.6063073138283706,6.20837163976631
LSTM,0.025766438900207397,0.034729025779163744,6.359555384532302,6.641309622705656
Seasonal Naive (365d),0.03996717267532151,0.05234064293633352,10.675068095104084,10.31504871187397
Rolling Mean (7d),0.07391727728743666,0.09383929498053044,17.83348024299027,20.468009701643318
Hybrid SeasonalNaive(365d)+ResidualNN,0.0870881846779882,0.09757600133155366,24.066768836155056,20.931359267262188
SARIMA,0.08447596840668112,0.10178870154924881,20.83418144994961,24.14260821628934
Naive,0.0911695718834533,0.10902718299055339,22.4007723487913,26.205215420356254
