Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.00023340184379439872,0.000443374383899298,0.055080323624033964,0.05506922415455341
Ridge Features,0.0028474493611925864,0.0039441010810614295,0.6983953930830838,0.702172620266534
N-BEATS v2 (covariate-conditioned),0.014345381990646734,0.019478407788919468,3.7211560735740314,3.730326555488884
SARIMAX,0.022631038166671166,0.03068478080977059,6.6063073138283706,6.20837163976631
LSTM v2 (dual-stream),0.023666373546520174,0.03141884181766844,5.933818511744622,6.10041984520322
Seasonal Naive (365d),0.03996717267532151,0.05234064293633352,10.675068095104084,10.31504871187397
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.06665442770196403,0.08267340461895464,18.673089603134944,16.585113945489173
Rolling Mean (7d),0.07391727728743666,0.09383929498053044,17.83348024299027,20.468009701643318
SARIMA,0.08447596840668112,0.10178870154924881,20.83418144994961,24.14260821628934
Naive,0.0911695718834533,0.10902718299055339,22.4007723487913,26.205215420356254
